"seq","name","term","lev","value","ProteinN","logFC","logCPM","FDR","PValue"
"TRINITY_DN255273_c0_g1","regulation of nucleobase-containing compound metabolic process","GO:0051252;GO:0019219",2,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","regulation of nucleobase-containing compound metabolic process","GO:0051252;GO:0019219",2,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255903_c0_g1","regulation of phosphate metabolic process","GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174",6,13.9563026448281,"Protein BCCIP homolog",16.41968284,9.59453111,2.53e-05,8.69e-07
"TRINITY_DN299755_c1_g3","regulation of phosphate metabolic process","GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174",6,13.0212941355248,"Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)",15.21328196,8.894815231,5.91e-05,2.21e-06
"TRINITY_DN311731_c0_g1","reproductive process","GO:0022414",1,11.0465690711394,"Zygote defective protein 9",13.0577743,8.022670624,0.00035827,1.59e-05
"TRINITY_DN295214_c0_g1","response to chemical","GO:0000302;GO:0006979;GO:1901700;GO:0042221",3,6.87490236667756,"17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)",9.509699656,10.30032912,0.016547294,0.001033399
"TRINITY_DN295214_c0_g2","response to chemical","GO:0000302;GO:0006979;GO:1901700;GO:0042221",3,6.40300250776518,"17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)",9.504195497,7.581097991,0.024391652,0.001656576
"TRINITY_DN312005_c1_g1","response to chemical","GO:0000302;GO:0006979;GO:1901700;GO:0042221",3,7.09368857160359,"Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)",9.770060165,7.021388309,0.013995414,0.000830329
"TRINITY_DN295214_c0_g1","response to stimulus","GO:0006950;GO:0050896",2,6.87490236667756,"17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)",9.509699656,10.30032912,0.016547294,0.001033399
"TRINITY_DN295214_c0_g2","response to stimulus","GO:0006950;GO:0050896",2,6.40300250776518,"17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)",9.504195497,7.581097991,0.024391652,0.001656576
"TRINITY_DN312005_c1_g1","response to stimulus","GO:0006950;GO:0050896",2,7.09368857160359,"Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)",9.770060165,7.021388309,0.013995414,0.000830329
"TRINITY_DN256449_c0_g1","RNA metabolic process","GO:0016070",5,13.4981302324811,"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)",16.09956622,9.258301558,3.91e-05,1.37e-06
"TRINITY_DN296708_c0_g1","RNA metabolic process","GO:0016070",5,29.8474329572232,"DPH4 homolog (DnaJ homolog subfamily C member 24)",21.68291002,14.66491937,1.4e-10,1.09e-13
"TRINITY_DN256449_c0_g1","RNA processing","GO:0006396",2,13.4981302324811,"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)",16.09956622,9.258301558,3.91e-05,1.37e-06
"TRINITY_DN296708_c0_g1","RNA processing","GO:0006396",2,29.8474329572232,"DPH4 homolog (DnaJ homolog subfamily C member 24)",21.68291002,14.66491937,1.4e-10,1.09e-13
"TRINITY_DN256449_c0_g1","RNA splicing","GO:0008380",3,13.4981302324811,"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)",16.09956622,9.258301558,3.91e-05,1.37e-06
